,solve_time,day_of_week,author,clues
2015-01-30,<module 'time' (built-in)>,Friday,DAVID PHILLIPS,"['Sharp', 'Foreign fortress', 'Take for the road?', '""Parenthood"" actress Bonnie', 'Person making pointed attacks?', 'Chemical synthesis component', 'From overseas?', '1972 Alice Cooper hit with the lyric ""we got no class""', 'Line in the sand?', 'Worked for Mad, maybe', 'Take blades to blades', 'Spinning', 'Cell alternative', 'How signals from outer space may be heard', 'Not original, in a way', 'Handles deftly', 'Irate', 'Chaud time', 'Baroque dance form', 'Between 5 p.m. and 9 a.m., maybe', 'Setting for TV\'s ""The Mentalist""', 'Eldest sister in a classic 1868 novel', 'Heavy-metal band with the #1 album ""Far Beyond Driven""', '""___ Girls""', 'Type, as a PIN', ""Basement's use, often"", 'Wallops', '""Any problem with that?""', 'Drop off', '""___ is being able to see that there is light despite all of the darkness"": Desmond Tutu', 'GPS options: Abbr.', 'Milk source', 'Popular video game for wannabe athletes', 'Sole supporter?', 'Singer Green', 'Not much, as of salt', 'Mariposa relatives', 'Like the sky, in France', '""It ___ happenin\'""', 'One getting a tip?', 'Hawke of ""Boyhood""', 'Weapon in a fantasy role-playing game', ""Ivan Turgenev's birthplace"", ""Barista's serving"", 'Expect', '___-Main-Danube Canal', ""What's the point of an eating utensil?"", 'Recipe instruction', 'Upright', 'Sand ___', 'Queen of the Nile', 'Hard-hitting musical performances?', '___ Linda, Calif.', '""Sure thing, dude!""', 'Liqueur flavor', 'Air space?', 'The electrons of oxygen, e.g.', '___ Jacques', 'Anna of the ""Scary Movie"" films', 'Capital near Aden', ""Myrmecologists' study"", 'Water under the bridge?', 'And so', 'Fanboy or fangirl', 'Bounce', 'Provider of inside info?']"
2015-01-31,<module 'time' (built-in)>,Saturday,TIM CROCE,"['Thickburger seller', 'Some gathering spots', 'Iris features', 'Officially request', 'Alternative to a babka', 'Very abruptly', 'See 34-Down', '""I can go for this!""', ""Beethoven's fifth?"", 'As is fitting', 'Many old terminals', 'Shortening for shortcuts', 'It means everything to Erhard', 'Obituary word', ""It's often shifted after being laid"", 'He began his third presidential term in 2014', ""Part of a goth dude's look"", 'Party rule, for short', 'What holds up well?', '""Puh-leeze, save the tears""', 'Cry before some clinking', 'Like Grieg, to Grieg', 'Common combo vaccine', ""It's not much higher than a D"", 'Conjugation part between ""sommes"" and ""sont""', 'Seeds often have them', 'Something developed casually?', 'See 54-Down', 'Himalayan food, maybe', 'In a lather, with ""up""', '""No sweat!""', '""You don\'t have to tell me that""', 'Really opens up', 'You might take a cue from this', ""It's measured in points"", ""Warriors in l'Iliade"", 'Its motto is ""From sea to sea""', 'Plant called ""rocket"" outside the U.S.', 'Hands down, in a way', 'Footnote abbr.', 'Tear into', 'Copacetic', 'Land on the sea', '""I\'d like some of that, bro""', 'Cousins of harriers', 'Take ___ off', 'Ketchup, e.g.', 'His servant is Kurwenal, in opera', '""Try it ... that\'s all I ask""', 'Person breaking his word?', '""___ to disagree""', ""Minion's reply"", 'Shear', 'Give it a go?', 'Fellow', '""How could I do that?!""', '19-Across units: Abbr.', 'General figure', '80 chains or 8,000 links', ""It's in high demand"", 'Chicken choices', 'Carlos the Jackal raided its HQ', 'Song with the lyric ""Until we meet again""', 'Not quite yet', 'Logo displayer, maybe', 'Animistic figures', 'Turning phenolphthalein pink', 'With 53-Across, Italian sugar', 'Post-Passover period', '___ siege (1993 newsmaker)', 'Special feeling?', 'Like some wit']"
2015-02-01,<module 'time' (built-in)>,Sunday,DAVID STEINBERG ,"['Filling entrees?', 'Imperfect', 'Laugh track content', 'Former Diet Pepsi spokesmodel', 'Nymph jilted by Paris', '""The Vampire Diaries"" protagonist', 'Content of a demand to attend?', 'Cry of frustration', '___ flakes', 'Hullabaloo', 'Square meal?', 'Gas station adjunct', 'Freaky funeral noise?', 'Tornado Alley state: Abbr.', 'Smirnoff Ice, e.g.', 'Red-faced', 'View from Big Ben', ""Patriots' and Seahawks' org."", '""Castaway"" director, 1986', 'Points of view', 'W.W. II rationing agcy.', 'Dive from a fire-breathing creature?', 'Al Qaeda stronghold', ""Vegetable that's often fried"", 'Place first, second or third, say', 'Man of letters?', '""The Bridge on the River Kwai"" director', 'Certain embedded Internet video', '___ lupus (gray wolf)', 'Not there yet', 'Company that introduced Saran Wrap', 'Venti, vingt or zwanzig?', 'Missal storage site', 'Coffee bean variety', 'Went on a run?', '43-Across ball carriers: Abbr.', 'Lake ___, biggest lake in South America', 'Holdups', 'Perfumery measure', ""Workers' rights org."", 'Wool source', 'Woe for a sunburned sea monster?', ""Northern California's ___ River"", 'Burn', 'Make hot', '___-Magnon', 'Uses mouthwash, e.g.', 'Like a dutiful sentry', 'Faux pas', 'Symbol on a sarcophagus', 'Intel products used at a nuclear facility?', 'Hit with a charge', 'Seiji Ozawa, e.g.', '""Argo"" setting', 'Roman guardian spirit', 'Diminish in strength', 'Overseeing a work crew, e.g.?', 'Cause of radioactivity', ""Beggar's receptacle"", ""Attorney's presentation"", ""Coeur d'___"", 'Part of a contract', 'Mess', ""Game show V.I.P.'s"", 'Three-vowel word that sounds like a fourth vowel', 'Like some knights and warships', 'Kind of paste', 'What a spoiler might spoil', 'Golfer Woosnam', 'Chi-town circlers', 'Possessions', 'Old fogy', '""We\'d better skip it""', 'Santa ___ winds', 'Got the gold', 'Envelope abbr.', 'Handle of a plow?', 'Unceremonious removal', 'Half a game name that rhymes', 'Feathers, pointy bill, long legs, etc.?', '""Life of Pi"" director', 'Old colonial masters', 'Aficionado', 'AIDS-fighting drug', 'One with a colorful coat?', 'Woodard of ""Primal Fear""', 'Garbage collector, informally?', 'Slanted columns', 'Fay of ""King Kong""', 'Upped', 'Plant swelling', 'Like Isaac Asimov', 'Speed skater Ohno', 'Words of thanksgiving', 'Common craps roll', 'Dribble glass, e.g.', 'California resort town', 'Feelings of guilt', 'What I will always be, alphabetically', 'Parking lot figure', 'From square one', 'Problems with hoses', 'Skeletal enemy in Mario games', '___ point', 'Perform terribly', '""Lookin\' good!""', 'Kind of contraception', 'Period when rabbits stop fighting?', 'Harangues, with ""at""', 'Sport', 'Mystery prize', 'Naïfs', 'Slangy greeting', 'Salad bar morsels', ""Like the world's largest sultanate"", 'Economize to a fault', 'Juicy fruit', ""Destination of NASA's Dawn probe"", 'What Othello and Desdemona do in ""Othello""', 'Prime Cuts brand', 'Site of ancient Greek Olympics', 'What the jack of spades lacks', 'Howard Stern rival', 'Howard Johnson rival', 'Chilean author Allende', '""My dear man""', 'Difficult situation', 'Greater or lesser follower', ""New York's ___ Island"", 'Circular opening?', 'Gather (from)', '""South Park"" boy', 'Some PC screens', 'Many an art museum piece', 'Cellular messenger', 'Bit of old French bread', 'Charlottesville inst.', 'Picayune quibble', 'Brass producer, briefly', 'Catchy thing?']"
2015-02-02,<module 'time' (built-in)>,Monday,JEFFREY WECHSLER,"['Egg size larger than large', 'Remove, as a potato peel', 'Big inits. in financial news', 'French ___ soup', 'Prime draft classification', 'Inflict upon', '""Some Like It Hot"" actor', 'The Parthenon or Machu Picchu', '""I must do this""', '""How adorable!""', 'Key for exiting full-screen mode', 'Item on a birthday cake', 'Wool variety', 'Permitted', 'What a baker gets a rise out of?', 'Indonesian tourist destination', 'Notable time', 'Empire State Building locale ... or a hint to three letters in 16-, 19-, 52- and 57-Across', 'Existed', 'Thick Japanese noodle', 'Get tangled up', 'Marzipan nuts', 'Aioli, mostly', 'Bit of sports equipment with a reel', 'King or queen beater', 'Clear (of)', 'Indictment for a serious offense', '""This skull has ___ in the earth ..."": ""Hamlet""', 'Executive\'s free ""wheels""', ""Rubik who invented Rubik's Cube"", 'Margarine', 'Enticing smell', ""NNW's opposite"", 'Bottoms of paws', 'Given to crying', 'Write quickly', 'Tre minus due', '60 secs.', 'William who played Hopalong Cassidy in old westerns', '""I\'ll only say this ___ ...""', 'Places with wharves', 'Bit of tomfoolery', 'Bridle strap', 'Unhurried pace', 'Eager reply to ""You guys want to come?""', ""Meara's partner in comedy"", 'Actor on ""Homicide: Life on the Street"" and ""Chicago P.D.""', 'Brand for clearing a clogged pipe', 'Druggie', 'Home to L.A. and S.F.', 'Tan who wrote ""The Joy Luck Club""', '""___ is me!""', 'TV show that popularized the phrase ""Is it bigger than a breadbox?""', 'Cigar residue', 'Suffix with Manhattan', 'Turing who was portrayed in ""The Imitation Game""', '""Two no-trump"" and others', 'In the past', 'Kind of film exemplified by ""Lethal Weapon""', 'Expert', 'Statute', 'Dimpled breakfast items', 'Hanging on every word', 'QB Manning', '""Turn on, tune in, drop out"" drug', ""University of Maine's home"", ""Oui's opposite"", 'Wang of fashion', 'Arabic man\'s name meaning ""highly praised""', 'Mob bosses', 'Pepsi-___', 'Chew like a rat', 'Brontë\'s ""Jane ___""', 'British runner Sebastian', 'Increase, with ""up""', 'Beam of light']"
2015-02-03,<module 'time' (built-in)>,Tuesday,JOE KROZEL,"['*PS', 'US*S', 'I*S', 'GE*', '*PO', 'H*MES', 'T*IF', 'T*T', 'SWA*', 'F*C', 'B*W', 'I*U', '*NT', 'V*T', '*TA', 'S*O', 'C*T', '*M', 'BP*E', '*OS', 'FW*W', '*TC', 'R*I', 'H*H', '*YI', 'W*D', 'NAS*AR', 'GO*', 'W*W', 'G*', '*YSE', 'USN*', 'B*T', 'AA*P', 'N*F', 'U*PS', '*RA', 'Small eel', 'Jay formerly of ""The Tonight Show""', 'Virgil contemporary', 'Transaction with a bookie', '""Wheel of Fortune"" purchase', 'Actress Patten or Anders', 'Wine grape variety', 'Choose', 'Quenched', 'Doughnuts, mathematically', 'Les Trois Mousquetaires, to one another', 'Ho Chi Minh trail setting', 'Skip, as the ""f"" and ""the"" in ""two of the clock""', 'Golden, in France', 'Things ""on my guitar"" in a 2008 Taylor Swift hit', ""Decision-maker's drawing"", ""Stimpy's pal in cartoons"", 'One going for big laughs, say', 'Division of a long poem', 'Like many young Brooklynites, stereotypically', 'Food traditionally eaten with a miniature spoon', 'Cries of annoyance', 'Gutters are attached to them', 'Like purple hair', 'Put together, as socks', 'Good, in a Jewish exclamation', 'Sun or planet', 'One counting to 10, maybe', '""Don\'t leave me!""', 'Ending with pay or plug', 'Qty.', 'Nailed the test', 'Actor Julia and others', 'Layers of frost', 'Sports star-turned-model Gabrielle', 'Events of 1914-18 and 1939-45', '""Law & Order: SVU"" actor', 'Numbers to crunch', 'Rocker Barrett of the original Pink Floyd', 'Former Georgia senator Sam', 'Behold, to Cicero', 'Do some yard work', 'Before, in poetry', 'Aunt, in Latin America', 'Three: Prefix']"
2015-02-04,<module 'time' (built-in)>,Wednesday,JULIAN LIM,"['Muck', 'Hilton competitor', ""Overlord's domain"", 'Green card issuer, informally', 'Specks', 'Word repeated in ___ City, ___', 'Eye an election official?', ""Bulgaria's capital"", '""Fie!""', 'They may be paddled', 'Laid-back', 'Tennis champion with the 2009 memoir ""Open""', ""Decimate a monastery's occupants?"", '""Ready when you are!""', 'Formal vote', ""Desk jockey's happy yell"", 'Prevarication', 'Letters on some kits', 'Letters on some kits', '""The Prague Cemetery"" author, 2010', 'Happily, old-style', 'Many Ph.D. candidates', 'Capital about 60 miles from the Caspian Sea', 'Warning shouted to a lacrosse defenseman?', 'Heavenly ring bearer?', 'High-and-mighty sort', 'Unique', '___ sauce', ""Let's say, informally"", ""Develop one's comedy acts?"", '___ Modern (London museum)', 'Report card report', 'Tidal term', 'Glutted (on), briefly', 'Afflictions sometimes caused by sleep deprivation', 'Musical Perry', 'Safari vehicles?', '""If you ask me,"" in textspeak', 'Good snorkeling locale', 'Fires up', 'Grp. with a co-pay', '""For sure!""', '""Good going, kid!""', 'Corporate department that offers support', 'Chinese menu general', 'Pricey pieces', 'Bitsy pieces', 'Some still-life subjects', '46-Across tongue', 'Flattened', 'It might be sexual', '""Here, try wearing this""', 'Accept after a while', ""With one's head in the clouds?"", 'Et ___ (and others: Lat.)', '""Der Goldfisch"" painter', ""Parks' partner, familiarly"", 'Spice Girl Halliwell', 'Statement of confidence', 'Word choice?', 'Talk incessantly', 'Share, as a blog entry', ""Didn't make the grade?"", '""My bad""', ""Popular color at Victoria's Secret"", 'Bicolor snack', 'Separate, as oxen', 'Dealt with', 'Tons', 'Rich European dessert', 'Paramedic\'s ""pronto""', 'Ready for service', 'Airplane ticket info', 'Spot', ""Speech coach's targets"", '___ Midway']"
2015-02-05,<module 'time' (built-in)>,Thursday,MIKE BUCKLEY,"['Some finger food', '___ power', 'Dawber and Grier', 'Trump caller, once?', '""Buy it new. Buy it now"" sloganeer', 'La Salle of ""ER""', 'Sheena Easton hit from a Bond film', 'Just my opinion, in a tweet', 'Crinkly vegetable', 'Flip', '___ Shepherd, former co-host of ""The View""', 'Some ball attendees', 'Larsson who wrote the ""Millennium"" trilogy', 'Solve, in a way', 'End of a long biblical journey', 'Passing through', 'Giant Jesus', '1958 hit by Jackie Wilson', 'Egyptian president Abdel Fattah el-___', 'Goldfish cousin', 'Clinton aide Myers', 'From what place', 'Mimics', 'Trees with beans', ""They're just over two feet"", 'Paradises', 'Reason to add salt?', ""Milo's partner in film"", '1964 #1 hit with a motorcycle crash sound', 'Contrarily', 'Internet chat status', 'Elvis, to Spanish fans', 'Cold draft, maybe', 'Tally on a prison wall', 'Ken who wrote ""Sometimes a Great Notion""', 'Short row', 'Frankly admit', 'French capitalists?', '1953 hit for Julius La Rosa', 'Part of some Portuguese place names', 'Actor Depardieu', 'R. Kelly hit from ""Space Jam""', 'Madcap Martha', 'Pipe cleaner', ""Depeche Mode's first U.S. hit, 1985"", 'Trademarked fabric name', 'Author who went by his first two initials', 'Flooring measure: Abbr.', ""Chernobyl's locale: Abbr."", 'Made a case against?', 'Like three and trois', 'Co-op ___', 'Movie pizzeria where Radio Raheem ate', 'Half-Betazoid on the Enterprise', 'Org. in ""Homeland""', 'Rug rats', 'Guiding lights', ""Person who's a zero?: Abbr."", 'Plays for a chump', 'Great 39-Down', 'See 38-Down', 'Completely con', 'Online provider of popular study guides and lesson plans', 'TMZ target', '""Skyfall"" singer', 'Fire starter?', 'Energy unit: Abbr.', 'Many a mixer', 'Arctic Blast maker', 'Absolut competitor', 'Cleanse (of)', '""Mice!""']"
2015-02-06,<module 'time' (built-in)>,Friday,KYLE MAHOWALD,"['""Check it out!""', 'Book deals?', 'Buoy', 'Org chart topper', 'Many a collar attachment', 'When Romeo says he ""saw true beauty"" before seeing Juliet', 'Like many babies at bedtime', 'Players often pick it up', 'The Mariners, e.g.', 'Like many hooks', 'Former consumer electronics company bought by Sony', 'Studio mixing equipment', 'Comment to a card', 'Pep Boys product', 'It underwent a long, massive breakup', 'Leader who said ""It is right to rebel""', 'Question asked modestly in response to ""That looks great on you""', 'Burmese pythons in the Everglades, e.g.', '""My reply ___"" (Magic 8 Ball answer)', 'Everglades transport', '""A sentiment appropriate to the occasion of another\'s superiority,"" per Ambrose Bierce', ""Geo. Washington was the U.S.'s first"", 'Fencing move that means ""arrow"" in French', 'Sic ___ scriptum', 'Takes command of', 'Source of some fevers', '""No turning back now!""', 'Get the picture', '""Not so hard""', 'Took command of', 'Brand name chosen for its symmetry', 'Response to a puerile joke', 'Metric pressure unit', '""\'Tis the Voice of the Lobster"" reciter', 'Changes course', 'Tag base, perhaps', 'Straight, say', 'Cadillac model that debuted in 2012', 'It gets swung over', 'Unworthy of', 'Out of it?', 'Mobile home', 'New England delicacies', '1960s Robert Loggia series about a burglar-turned-bodyguard', 'Is beneficial', 'Real card', 'Crawford who won the 2014 Sixth Man of the Year Award', 'Swung around', 'Dances by jumping in place', 'Screenwriter who knew the identity of Deep Throat before it was made public', 'Region between the tundra and steppes', 'Dawn', 'Makes out clumsily?', 'Colonial heretic Hutchinson', 'Start of some pleas', 'Wear without straps', 'Informal greeting', 'Alternative to Camels', 'Fruit historically used for medicinal purposes', '""Star Wars"" surname', 'Villain in a Nativity play', 'Sound heard before a big blow?', 'Talk, with ""up""', 'Certain noble', 'You, overseas', 'Natl. Congress of Mothers, today', 'Year the Liang dynasty began', 'Radio receiver']"
2015-02-07,<module 'time' (built-in)>,Saturday,BYRON WALDEN,"['Ameche\'s ""Moon Over Miami"" co-star, 1941', 'Hit radio comedy about a bridge-playing couple', 'Decide, as a motion', 'Lacking inflection', 'Source of the quote ""Change is certain""', 'Hurly-burly', 'Red cabbage juice, in chemistry class', 'Trail', 'Where ""Desperately Seeking Susan"" appears in the film of that name', 'Lee label, for short', 'The U.S. Open is played on it: Abbr.', 'Moniker after a lifestyle change', ""Cavaradossi's lover"", 'Disco fabrics', 'Steels', ""Wasn't consistent"", 'Providers of housewarmings?', 'Ace high?', 'Roy ___, title character in ""The Natural""', 'Well-lit spaces', 'Super Bowl XX-winning coach', 'Title ""Mr."" in a Milne play', 'Some jewelry stores, informally', 'Queen who rallied the Dutch resistance in W.W. II', '___ card', 'Ball boy?', 'Attempt to spur demand', 'Rides', 'License to drill', 'Part of a suspended sentence?', 'Banquet offering', 'Like some rolls', 'Producer of a cough and shivers', 'Decoratively pleated and gathered, as some bridal gowns', 'Soloist on the ""Green Hornet"" theme', 'Gatherings for hippies', 'Wimbledon is played in it', 'Some Navy specialists', 'Preserves, in the end', 'Arterial tree components', 'Hair holder', '___ Grace', 'N.C.A.A. division?: Abbr.', 'Come together', 'Beautifier', 'Reclaimed material used in jewelry', 'Cried harshly', 'Resolutions, e.g.', 'Madiba, for Nelson Mandela', '___ Stadium, home of the San Francisco 49ers', 'Former senator and presidential candidate who once dated Debra Winger', 'Foible', 'The planet in the sci-fi classic ""Forbidden Planet""', 'Like American cheese', '1980s P.M. nicknamed ""The Old Crocodile""', 'Avery product for note-takers', 'What old things fall into', 'Holders of pieces of eight?', 'Humorously', 'Good for rushes, say', '""___ Do It!"" (Rosie the Riveter motto)', 'MX-5 maker', '""It Ain\'t All About the Cookin\'"" memoirist', 'First noncanonical psalm in the Bible']"
2015-02-08,<module 'time' (built-in)>,Sunday,JEREMY NEWTON ,"['You may find it on your hands or side', 'Use a scalpel on', '""O.G. Original Gangster"" rapper', 'One connected with the force?', 'Not as brazen', ""It's worth $200 in Monopoly"", 'Princess of Power from 1980s cartoons', 'Get noticed', 'Wiped', 'DuVernay who directed ""Selma""', '100%', 'Ring call, for short', 'More hot', '""Sounds about right""', 'In stitches', 'Knocking', 'Load of money', 'Like some windows', 'Easily defeats, in sports', '___ Vogue', 'JFK probers', 'You may put stock in it', 'Director Coen', 'Enterprise for which a 14-year-old Buffalo Bill worked', 'One of 15 until 1991: Abbr.', '""Baywatch"" stars often jogged in it', 'Brownie unit', 'Japanese ""yes""', '___ Nova (musical style)', 'Will, given the chance', 'Ninny', 'Dickens heroine', 'Cold-climate cryptid', ""End for an organisation's name"", 'Exploit a loophole, say', 'Radio knob abbr.', 'Switch off', 'Unjammed', 'Cable airer of vintage films', 'Feeling low', 'Word between two last names', 'Trouble', 'Conductor announcements', 'Baloney', 'Newswoman Curry', 'Lean back and enjoy the ride?', 'Jumbo-sized', '___ fide', 'A Giants giant', 'Pick out', 'Washington landmark that lent its name to a Senate committee', 'Equally', 'Get the show on the road', 'Pursued, as perfection', 'Big bra feature', 'Sticks in a purse?', 'Rotten', 'Little ___', 'Company with two lameds in its name', ""Lifesaver's inits."", 'Facetious string?', 'Big fall from the sky?', 'Large shrimp', 'Wavering wail', 'Like crayons', 'One of the Ivies, informally', 'Organization with an Exalted Ruler', 'Aid in identifying a bird', 'Insignificant', 'Hero in a John Irving best seller', '""Eureka!""', 'Sainthood prerequisite', 'It was a dark period for Poe', 'Short supply', '*Like puberty at age 16', 'Fatal ending?', '*Biter in Niger', 'Following behind', 'Specialty of Industrial Light & Magic, for short', 'Alphas might clash over them', 'Buff', '*One making the rounds at a party, perhaps', 'Having an unfavorable outlook', 'Blunder', 'Bit of hope', 'Bad recollection?', 'Tattooed', 'Alternatives to cheddars', 'Peanut', 'Topmost part of a face', 'Persevere', 'Drill sgts., e.g.', 'What buckets are made in, for short', 'Ob-___', 'It may be a high percent for the 1%', 'Football stat', 'Chinese restaurant assurance', 'Natl. Courtesy Month', 'Disapproving (of)', 'Swank', '*First spacecraft to orbit a comet (2014)', 'What always comes in halves?', 'With 59-Down, permanent ... or, literally, a feature of the answers to the seven starred clues', 'Cider server', 'Certain operatic voices', 'Energize', 'See 52-Down', 'Symbol of equality, briefly', ""Ahab's father"", 'Randy types', 'Variety', 'Underwater trap', 'Flat-bottomed boat', 'Hank\'s wife on ""Breaking Bad""', '*Car dealership option', 'Event with a cantina, maybe', '___ treatment', '*Chooses in the end', 'Zombie Strike SlingFire Blaster, for one', 'Linear, informally', 'Amazon activity', 'Hurtful comments?', '""Ridiculous!""', 'Agent 007, e.g.', 'Really involved', 'Long-reaching weapon of yore', 'More delish', 'Bit of baby talk', 'What a general may lead', '*Goals for underdogs', '""I\'m such a ___"" (klutz\'s comment)', 'Givens on ""Wheel of Fortune""', ""Weightlifter's exercise"", 'Went off', 'Yawn-inducing', 'Android runner, often', 'Poet\'s ""prior to""', 'Arctic flier', 'Olympics host after London', 'Spotlight hog']"
2015-02-09,<module 'time' (built-in)>,Monday,LYNN LEMPEL,"['Recently', 'Loathe', 'E.R. procedure', 'Like many white gowns', 'Animals in a yoke', '___-Ida (frozen potato brand)', 'Expensive annual commercial', 'Get-up-and-go', 'One trained in 11-Across, for short', 'Breathe hard, as after running', 'Note from a co-worker', ""Feature of a Dalmatian's coat"", 'What may be poured on a bad idea', 'Gap crossed by a nerve impulse', 'Eloquent speakers', 'Harper who wrote ""To Kill a Mockingbird""', 'Cassini who was dubbed Jackie Kennedy\'s ""Secretary of Style""', '""___ your head!""', 'New Jersey home to two New York teams', ""Alien's transport, for short"", ""Valentine's feeling"", 'Debussy\'s ""La ___""', 'Big name in hair care', 'Resting place for a pharaoh', 'Typical prom concluder', 'Cross a shallow stream, say', 'Org. for the Williams sisters', 'Landed', '""Get ___ to the Greek"" (2010 comedy)', '___ de Janeiro', 'Popular children\'s book series ... whose protagonist is ""hiding"" in the circled letters', 'Title for Powell or Petraeus: Abbr.', '""Othello"" evildoer', 'Like some help and boyfriends', 'Opposite of WNW', 'Gunky lump', 'Applies, as pressure', 'Preoccupy and then some', 'Dowdy', ""World's top-selling brand of 9-Down"", 'Fruity drink suffix', 'Rainproof cover', ""Italian site of Napoleon's exile"", 'Book genre for do-it-yourselfers', ""Rock's ___ Rose"", 'Earl Grey, e.g.', 'Bottom of the ninth, usually', 'Greedy', 'Books for beginning readers', 'Guilty feeling', 'In the past', 'Yoga surface', 'Offering from the Brothers Grimm', 'Lounge lazily', 'Utterly marvelous', 'German composer of ""Tristan und Isolde""', 'Rang out', 'Arizona city known for its red sandstone', 'Have to fork over', 'Droning speech quality', 'Pizzeria fixture', 'Take from the deck', 'Rapid increase', ""Part of Tootsie or Mrs. Doubtfire's costume"", 'Onetime carrier with a hub at JFK', 'Retired Brazilian soccer sensation', 'Composer Gustav', 'Exultant cry', 'Fiends', 'Tree that yields a chocolate substitute', 'Capri, for one', 'Chocolate-and-caramel candy bar', ""Part of Tootsie or Mrs. Doubtfire's costume"", '""2001"" computer', 'Freudian ""I""', 'Madison in N.Y.C., e.g.']"
2015-02-10,<module 'time' (built-in)>,Tuesday,KURT MENGEL and JAN-MICHELE GIANETTE,"['Flood', 'Higgledy-piggledy', 'Turns left, as a plow horse', 'Like some country-and-western singing', '___-Rooter', 'Take too much of, briefly', 'The ailing postal worker was ...', 'Have a silent role?', 'Cries at a plaza de toros', 'Put to good ___', '""Bye!""', 'Blacken', 'The ailing rock star was ...', '""The Star-Spangled Banner"" opening', 'Part of N.B.A.: Abbr.', ""Port-au-Prince's home"", 'Crack, as lips', 'Concerning', 'The ailing meteorologist was ...', 'Two, for binary arithmetic', '""___ kleine Nachtmusik""', 'Lowly workers', 'Nonfatty', 'Dollar : U.S. :: ___ : Cuba', 'The ailing golfer was ...', 'Keg part', 'Like two U.N. secretaries general', 'Fashion inits.', 'Possible result of owing money', 'British gun', 'The ailing trash collector was ...', 'Related', 'Capital of Qatar', 'Movie ticket category', 'Make ___ meet', 'Dish with a little of this and a little of that', 'Hunts and pecks, e.g.', 'Stuck-up sort', 'Funny Poundstone', 'Popular 1980s arcade game', 'Ski resort whose name is an anagram of 34-Across', 'One with pointy ears', 'Came up', 'Prized mushroom', ""Baseball's Mel"", '37 bout results for Muhammad Ali, informally', 'Where umpires umpire', '""Goodbye""', 'Half of humanity, to some feminists', 'Furtive sort', 'Chop ___', 'Snorkel, in ""Beetle Bailey"": Abbr.', 'Place to see a Ferris wheel', 'Amazed', 'Where a redneck gets red', 'Caribbean percussion groups', 'Center', 'Flag carrier of Japan', 'Pants material', '""The Little Red ___""', 'Typical western', 'X', 'Hosp. areas where you might hear ""Scalpel, please""', 'Blue shade', 'One doing impressions', 'Time after dusk, to poets', 'Susceptible to sunburn', 'Garbage', '___ Martin', '150 bushels an acre, e.g.', 'George who signed the Declaration of Independence', 'Sarcastic ""Oh, sure""', 'Beatles record label', 'Blog entries', 'Former New York mayor Giuliani', 'Checkpoint necessities', 'With 61-Down, what ""dis"" is?', 'See 60-Down']"
2015-02-11,<module 'time' (built-in)>,Wednesday,WILL TREECE,"['Chuck of ""Meet the Press""', 'Suffragist Carrie Chapman ___', ""Philanthropist's focus"", 'Word with gray or Bay', '""You just blew my mind!""', 'Pains', 'Tenn. neighbor', '*""Rubber Soul"" group, to an overzealous copy editor?', ""Politician's misstep"", 'Western arena attraction', '*""Chicken-n-Beer"" rapper, to an overzealous copy editor?', 'Pet name in Britain', 'Go over again', 'Singing Dion', 'Chinese ""way""', 'Army doc', 'Smooths, in a way', 'They move around a lot at a square dance', 'Caged talker', 'Duncan or Banquo', 'Flooded', 'Overhauled', 'Chart position reached by all the albums seen in the starred clues in this puzzle', 'Hauled (away)', 'Made operational', 'Moreover', '*""Evolution"" group, to an overzealous copy editor?', 'Impressive display', 'Too sentimental', '*""Dr. Feelgood"" band, to an overzealous copy editor?', 'Delhi order?', 'Let by', 'Cry in ""The Farmer in the Dell""', 'Sting operation', 'Count in a duel', 'Zap, in a way', '""The ___ the limit!""', 'Kool-Aid alternative', 'Sea carnivore', '*""Hysteria"" group, to an overzealous copy editor?', 'Region next to Chad', '100 lbs.', 'Sound at a spa', 'It is human, per a saying', 'Verboten', 'Assortment on a party platter', 'Lead-in to correct', 'Site address', 'Sault ___ Marie', 'Suffix with lion or steward', 'P.T.A. interest: Abbr.', 'Gouda cousin', 'Part of an agenda', 'Fragrant evergreen', '*""Meteora"" band, to an overzealous copy editor?', 'Ruined', '""By the power ___ in me ...""', 'Ivy League city', 'Land north of the Philippines', ""What Vegas doesn't have?"", 'Much of the Arctic', 'Student in a uniform', 'Former barrier breaker', 'Grape nut?', 'Book before James', 'Challenges for salmon', 'Traditional fishing boat', 'Wild things', 'Competitor for the Jules Verne Trophy', 'Half of the United Arab Republic', 'Lotion additive', 'Supplicate', 'Puppy sounds', 'Common almanac feature', 'Rio ""hello""', '""Sister Wives"" network', 'Canadian interjections', 'Tribulation']"
