date,solve_secs,day,author,clues
2017-07-02,2835.0,Sunday,PATRICK BLINDAUER ,"['Major tenant of Rockefeller Center', '""Young Frankenstein"" role', 'Theater drop', 'Nuke', 'CBS\'s ""Kate & ___""', 'Turner of ""Peyton Place""', ""Bad thing to bring one's family"", 'Wealthy: Sp.', '""With the Beatles"" song written by Smokey Robinson', 'In all seriousness', 'Gen ___', 'Emulated the tortoise and hare', 'One of seven in the Book of Revelation', ""Ladies' men, in older usage"", 'Gulf state: Abbr.', ""Monastery head's jurisdiction"", 'Domesticate', 'Intimate', 'Zombie or flaming volcano', '""Yuck!""', 'Part of U.N.L.V.', '""Let\'s go!,"" in Baja', 'Meditation leader', 'Altar exchange', ""Bus. need that most lemonade stands don't have"", 'Some Japanese watches', 'Big ___ (some sandwiches)', 'Edgar in ""King Lear,"" e.g.', 'It might help you get to Carnegie Hall, for short', 'Riga resident', 'Garden party?', 'Record shop stock', 'Talk, talk, talk', '""The Time Machine"" race', 'Something you might lose a little sleep over?: Abbr.', 'Delany or Carvey', 'Whopper', 'Last Hebrew letter', 'Capital bombed in 1972', 'Grade school subj.', 'Audio problem', ""Harrison's successor"", 'African antelope', 'Message from the Red Cross, maybe', 'Cinematic composer André', 'Triumphant cry', 'Its state quarter has a lighthouse', 'Luxuriant', 'Charge, in a way', 'Spanish letter between ka and eme', 'Piece org.?', 'Silverwork city in southern Mexico', '""Strangers and Brothers"" novelist', 'Move quickly', '1943 penny material', 'Merchandise: Abbr.', 'Structure used in extreme sports', '""Antennae""', 'Raised a ruckus', '1977 Warhol subject', 'Filmmaker Guy', '""Revolver"" song that Paul McCartney described as ""an ode to pot""', 'They go in locks', 'Ancient', 'Footwear for a run', 'Like a good scout', 'Fifth qtrs.', 'Résumé listing', 'It used to be made of lead', 'Les ___-Unis', 'One side of a vote', 'Link studied at Ancestry.com', 'Coterie', 'Part of an old-fashioned swing', 'Zigs or zags', 'Napoleon\'s partner on ""The Man From U.N.C.L.E.""', '""Wonder Woman"" star ___ Gadot', 'Shade of black', 'Fury', 'Onetime J.F.K. sight', '1968 movie based on ""Flowers for Algernon""', 'Indy 500 winner Bobby', '""___ roll!""', 'Blue', 'Penny, mostly', 'Zenith', '""The Gold-Bug"" author', 'Certain tribute', 'Most watchful', 'Living thing', '""___ & the Women"" (2000 Altman film)', '""Hey Jude"" song that mentions every day of the week but Saturday', '""Yikes!""', ""Solvers' shouts"", 'What T.S.A. Precheck helps people avoid', '""A Hard Day\'s Night"" song that Lennon called McCartney\'s ""first \'Yesterday\'""', 'Strongly worded attack', 'Panther or puma', '""With the Beatles"" song playing in the E.R. when Lennon died', 'Tiki bar cocktail', 'Houdini feat', 'George of ""Star Trek""', 'Bunches', 'Try out', '""Sgt. Pepper\'s Lonely Hearts Club Band"" song whose title is followed by ""where the rain gets in""', 'Twin Cities suburb', 'Sacrosanct', 'Pommes frites seasoning', 'Slowly fade away', 'Like names on trophies, often', '""I can\'t he-e-ear you!""', 'Extra-special', 'End of a shift', 'Disc jockey Freed', 'Hair-razing name?', 'Bigger than big', 'Beans, e.g.', '___ teeth', 'The highest form of flattery?', 'Tommy Hilfiger alternative', 'Old movie theater lead-ins', 'Kitchen shortening', '""___ a wrap""', 'Latin 101 word', 'Theater sections', 'Lose it', '___ dish', 'Pastoral poem', 'Came (from)', 'Pacific ___', 'Bob or weave', 'Lacquer, e.g.', 'Contents of some envelopes: Abbr.', 'Officially go (for)', 'Black as night', 'Circulatory block', 'Slangy greeting', '""___ first you don\'t succeed ...""', 'Congers and morays', 'Melted mess', 'Olive ___', 'Cape Horn, for one', '[See note]']"
2017-07-03,574.0,Monday,RANDALL J. HARTMAN,"[""Tokyo's land"", 'How Lindbergh flew across the Atlantic', '""Atlas Shrugged"" author Ayn', 'Spitting bullets', 'Minnesota baseballer', 'Skin soother', 'Air Force smart weapon', 'Atlanta-based cable channel', 'Cry after an errant golf shot', 'Gives a grand speech', 'Like good Scotch', 'Irritated state', 'Pioneering high jump maneuver of the 1960s', 'Not guzzle', 'Sean of ""The Lord of the Rings""', '""Apollo 13"" director Howard', ""Superboy's love interest ___ Lang"", '___ tea (summer drink)', 'Illegal payment', 'Slightly cracked, as a door', ""Superman's love interest Lois ___"", 'Fish eggs', ""Jack's fairy tale foe"", 'Sign outside a sold-out show', 'Thanksgiving entree', 'Noggin', 'Brewery containers', 'Captain America carries one', 'Wealthy', '""Elvis ___ left the building""', '1956 Dean Martin/Jerry Lewis comedy', 'Different', 'With 41-Down, ""Alice\'s Restaurant"" singer', 'Ancient region on the Aegean Sea', 'One who might expel a student', 'Say ""HEY YOU!,"" e.g.', 'Writer ___ Allan Poe', 'Say ""I don\'t"" to instead of ""I do""?', 'Yemeni or Omani', 'Hail Mary, for one', 'Enjoyed a buffet', '""Weapon"" with foam darts', 'Solidly built', 'Source of pain, in kidspeak', 'Tupperware top', 'Personal interview', 'Capital of Morocco', 'Oodles', 'U.S. city less than 150 miles from the International Date Line', 'Belles of the ball', 'Ending with church or movie', 'Result of a melting icicle', 'Tolerate', ""Neatnik's opposite"", 'Gets an F', 'Award refused by Marlon Brando and George C. Scott', 'Shorthand writer', 'Part of a Happy Meal', 'Pat of ""Wheel of Fortune""', 'Asinine', 'Republicans or Democrats', 'Dens', 'Theater district thoroughfare', 'Appropriate word found in 36-Down', 'See 59-Across', 'Depend (on)', 'Luke Perry or Jason Priestley, once', '___ Bell (restaurant chain)', '___ of Troy', 'Lose, as fur', 'Problem with a sock', 'Rick\'s love in ""Casablanca""', 'Item in a restaurant basket', ""Like a jury that can't reach a decision"", 'Himalayas setting', 'One of 50 on the U.S. flag', 'Mine car load', 'Physique, informally']"
2017-07-04,927.0,Tuesday,BRENDAN EMMETT QUIGLEY and MANGESH GHOGRE,"['Covering for leftovers', 'Popular sneakers', 'Pet welfare org.', 'Hairstyle that might have a lot of spray', 'Its first flight went from Geneva to Tel Aviv', '""Calm down!""', 'Title bootlegger in an F. Scott Fitzgerald novel', 'Fry in a small amount of fat', 'Sick', 'Ones jumping up Down Under, for short', 'Appears to be', 'Gardening tool', 'Édouard who painted ""Le Déjeuner sur l\'herbe""', '""I\'m here, too""', 'Printing cartridge', 'Tennis star nicknamed ""The King of Clay""', 'Russian for ""peace""', 'Green-light', 'Tough job for a dry cleaner', 'Skirt that stops at the ankles', 'Country singer Tillis', 'The Hindu ""Ramayana"" and others', 'Stage, as a play', 'Model with the most Sports Illustrated swimsuit edition covers (5)', 'Amusement park water ride', 'Thumbs-down responses', 'Works hard', 'Ore stratum', 'Big bang letters', ""Cheese from cow's milk"", '""What\'s the use?""', 'White-plumed marsh dweller', '___ Grey tea', 'Song for a coloratura', 'Curving billiards shot', 'Quaker pronoun', 'What the beginnings of 17-, 25-, 40- and 52-Across are each a fourth of, phonetically', 'Big name in camera film', 'Fancy stone', 'Pastoral verse', ""Captain's record"", 'President, at times', 'In addition', 'Snatches', 'Cunning', 'London football club nicknamed ""The Gunners""', 'Anago, at a sushi restaurant', 'Common ingredient in pasta sauce', 'Purrers', ""Firefighter's tool"", 'Very loud', 'The Great Tempter', 'Chopper in the Vietnam War', 'Fashionable', 'Backwoods sort', 'Crawling, say', 'Lure', 'Org. that gives out Image Awards and Spingarn Medals', 'President who launched the war on drugs', 'Land celebrated on March 17', 'São ___ and Príncipe', 'Sends unwanted email', 'Dishevel', 'Attempt to copy', '___ code (discount provider)', ""Drops a few G's, say?"", 'Allow', '""Julius Caesar"" costume', 'Persian leader', 'Jane who falls for Edward Rochester', 'Directional word, for short', 'Justice Gorsuch', 'Highchair surface', 'Real beauty', 'Rainy', '___ Mahal']"
2017-07-05,1803.0,Wednesday,JAKE HALPERIN,"[""Songwriters' org."", 'Honorific that becomes another honorific if you reverse its last two letters', 'Subjects of a Roswell museum', 'Twinkled', 'Hydrophobic substances', 'Attire for a Druid', 'Travel edition of a classic board game?', 'Gift from heaven', 'Prefix with directional', 'Channel 2?', 'Superrich', 'Wax sculptor Marie', 'Beside', 'Travel edition of a classic board game?', 'Consciously join', 'Opposite of caliente', 'Peace activist Yoko', 'Sprang', ""One's nearest and dearest, informally"", 'Get by', 'Window-closing key', 'Part of the Dept. of Homeland Security', 'Some cosmetic surgeries, for short', 'Travel edition of a classic board game?', 'Found', 'Puzzlements', 'Nongay, typically', 'Atlanta-based health org.', '""I\'m ___"" (""Whatever you suggest"")', '""Sad is my lot!""', 'Travel edition of a classic board game?', 'Fails to be', 'Done, in Verdun', 'Singer Mann', 'Young fellows', 'It might appear after an etym.', ""Rats' places"", 'Neckwear with dress whites', 'Very whale-known performer?', 'Woes on toes', 'Providing a better grip', 'Part of b.p.m.', 'Boing, for a spring', 'Barbecue serving', 'One way to fall', 'Worldly', 'Cooking class?', 'Instrument that an orchestra tunes to', 'Thrill', 'Have as a customer', 'One of a dozen in un frigidaire', '""___, I\'m so scared! (not really)""', 'Slangy form of 60-Across', 'Many an internet meme', 'Quaint commercial suffix', 'Countermand', 'Refusals', '___ Burov, K.G.B. officer on ""The Americans""', 'Mexican money', 'Place to grab a bite in Mexico', 'People in an H. G. Wells novella', 'Boudoir wear', 'At a distance', 'Nonproliferation treaty subjects, informally', 'Not the usual spelling: Abbr.', 'Crawl (along)', 'Badly injures', 'Factory, to its owner, e.g.', 'Wanda of ""Snatched""', 'Greet with acclaim', 'Mrs. Albert Einstein', 'French filmdom', 'Jar top', ""Onetime M&M's color""]"
2017-07-06,1259.0,Thursday,ERIK AGARD,"['Say ""Yeah, I can make it,"" say', ""[Ask me what's wrong]"", 'Pitt of ""The Big Short""', 'Scannable symbols on store items, for short', '2017 Best Play winner', ""Mark's replacement"", 'Will Smith\'s co-star in 1995\'s ""Bad Boys""', 'Some airport times: Abbr.', 'Like most clown wigs', 'Last word of a fairy tale', 'Hon, modern-style', 'Part of a phone plan', 'Two-legged stands', 'Tantrum', ""Madrid's country, on Olympic scoreboards"", '___ fides', 'Like the Nikkei and Hang Seng indexes', 'It uses clicks in lieu of paddles', 'Decorates with some rolls, for short', 'There are two, as the expression goes, in each of 16- and 55-Across', 'Part of a golf cup', ""There's one, as the expression goes, in 5- and 27-Down"", '""The Matrix"" hero', '___ Xtra (soda)', 'Traffic cone', 'Sports category prefix', '""Help me, ___-Wan Kenobi. You\'re my only hope""', 'Source of Manchego cheese', 'Cafe', 'Band whose name sounds like a vegetable', 'Fish ladder site', 'Remove ID from, as a Facebook picture', 'Look stunned', 'Lots of', 'Physicist who won a 2009 Presidential Medal of Freedom', 'Nursery item', 'One way to stand', 'First word of a fairy tale', 'Stripe', 'Half of a two-volume directory', 'Collection of highlights or bloopers', 'Popular ice cream flavor', 'Little extra poundage', 'Betamaxes, e.g.', 'S.F. winter clock setting', 'Line of Japanese smartphones', 'Where one might be marooned', 'Content', 'Question asked in befuddlement', 'Part of a Whopper', 'Approach quickly', 'Like a rainbow', 'Movers and shakers', '13th, maybe', 'It often occurs following a car wash, seemingly', 'Classic Britcom', 'Hamiltons', '""Whew!""', 'Tropical houseplant', ""Animal lovers' program"", 'Chest protector', 'Performance that requires a lot of upper body strength', 'Figure whose wings melt in the sun', 'Prepare to pin the tail on the donkey, say', 'Decepticons, in the Transformers universe', 'Golf ___', 'Frustrated exclamation', 'Be in development', 'Unsuccessful draft picks, in sports lingo', 'Opening', 'Have the tiller', '""The Two Fridas"" artist', 'Little annoyance', '""You can\'t have that!""', 'Second letter before iota', 'Two-nation peninsula: Abbr.']"
2017-07-07,1361.0,Friday,ANDY KRAVIS,"['Filing station?', 'Bookbag part', 'Kept sacred', ""Public speaker's asset"", '2016 film that won Best Picture', 'Photo app, slangily', ""It's a little less than a pound"", 'Where to stick a needle', 'NASA project launched in 1973', 'Shifted, in a way, as a skirt', 'CNN host Burnett', 'Fairy tale sister', 'Posts an intentionally mysterious status update on social media', 'Estadio cheer', 'Swelling', '""In case it\'s of interest ...""', '""Mosses From an Old ___"" (Hawthorne short story collection)', 'Grind', 'Kobe Bryant made it 15 times', 'Geek Squad company', 'Court painter of Charles IV of Spain', 'Title Roman tribune of an early Wagner opera', 'Hanna-Barbera feline', 'Elvises in Las Vegas, e.g.', 'Chocolate/caramel candy', 'Show on which Key and Peele got their start', '""Promises, Promises"" writer', 'Member of the working class', 'Putting teeth into', 'More sheltered', 'Furniture and such onstage', 'European textile city that gave us the word ""denim""', 'Actress Aimée', 'Common wedding dress color', 'Flooring option', 'G, in the key of C', 'Mahershala ___, Best Supporting Actor for 17-Across', 'Internet annoyances', 'Lead-in to -wise', 'Business meeting?', 'Things seen on a bookshelf', 'Mandarin or Mandingo', 'Like someone who invests in volatile stocks', 'Piedmont city famous for its sparkling wine', 'Three follower, in sports', 'A couple words?', 'Bailiwick', 'Lobster catcher?', 'Dimensions without planes', ""Lohengrin's love"", 'Regard', 'Win, lose or draw', 'Together, in music', 'Deep-sixes', '""Thimble Theatre"" surname', 'Part of a club', 'Not without consequences', 'Not-so-distant relative', 'What may have a strong net effect?', '""i"" dot', 'Oregon State mascot', 'Woman\'s name meaning ""peace""', 'Funny', 'And no one else', ""Blacksmith's tool"", 'Little rascals', 'Actress Kate of ""House of Cards""', 'Search', 'Cut (off)', '___ Lankan']"
2017-07-08,1205.0,Saturday,DAVID STEINBERG,"['Contemptible sort', 'One may be cast-iron', '""No ___!""', 'From quite a while back', 'Hard to get hold of', ""What can't hold still during lectures?"", '1960s TV character who says ""Aw, shucks""', 'Kind of walk', 'Plant-monitoring org.', 'Bear trap fearer', 'Intriguing meeting', 'Breakdance maneuver', 'Midsize bra parts', 'Bunch of, informally', 'Braggadocio', 'Comparatively bright', 'Vituperate', 'Lace place', 'Free Wi-Fi, e.g.', 'Little beefs?', 'Links words', 'Ancient theater', 'Wickedness', 'Largest Italian seaport', 'Score symbol similar to a tie', 'Miss, for instance', 'Città about 250 miles SE of 45-Across', 'In prime condition', 'Summer cooler', 'Certain Confucian compilation', 'Sci-fi transporter', 'Links', ""Site of Hercules' first labor"", 'Square root of nove', 'Change into something else', 'Hours-long meal', '___ good (amazing)', 'Pitches', 'Gamboling place', 'Connection letters', 'Nursery rhyme girl', '""Challenge not accepted""', 'Supervised', 'Climactic scene in the Eminem film ""8 Mile""', 'Competitor with a map and compass', 'Pub game', 'Concert lineup', 'Out of juice', 'Capital of Georgia', 'What ""O"" may symbolize', 'Doing away with', 'Site that reviews 44-Down products', 'Outlet for artisans', 'Cousin of tartar sauce', ""Judge's call"", 'Juice extraction device', 'Longtime Knicks nickname', '""Challenge accepted""', '""Wasn\'t I right?""', 'Certain PC storage area', 'See 27-Down', 'Conclusion preceder', 'Really lean', 'Astrologer known for annual forecast books', '""Storage Wars"" channel', 'Historic vehicle, briefly', 'Dudgeon', 'Shooting grp.']"
2017-07-09,2511.0,Sunday,WILL NEDIGER ,"['Relieves', '""You ___!""', 'Noted brand once owned by a utopian colony in Iowa', 'Theodore, for one', 'Display no talent for', 'Like boots', 'Deadliness', 'Make lots of people stop in their tracks?', 'Heartbeat', 'Bite stopper', 'When Juno Beach was attacked', 'Herb in absinthe', 'Be watchfully ever-present', 'Flub', 'Obtain through trickery', 'Roughly equal', '""Austin Powers: The Spy Who Shagged Me,"" e.g.', 'Demanding', 'One of the singing Carpenters', ""Unnecessary extras that don't cost much?"", 'One may be circular', 'Neighbor of Turkey', 'Did some farm work', 'Sharp', 'Lugosi of film fame', 'Cry of Pontius Pilate', 'Company behind the Falcon 9 launch vehicle', 'Grad student headaches', 'Ancient Greek vessel', 'Diamond stat', 'Mountain in the logo of Yerevan State University', 'Sweetheart, in slang', ""Brother who's a criminal?"", 'Subject of the photo ""Guerrillero Heroico""', 'Trembling, say', 'Friend of Huck', 'Hectic scramble', 'Cirrus clouds, e.g.', 'King of the Titans, in Greek legend', 'Movie starring Michael J. Fox as a lycanthrope', 'French press alternative', 'Look ecstatic', 'Neighbors', 'How Bilbo Baggins traveled', 'Currency with notes in denominations of 1,000, 5,000 and 10,000', 'Annoy actors Keaton and Crabbe?', 'Clog clearer', 'On again', 'Green', ""Scotland's ___ Islands"", 'Doomed', 'Soprano Fleming', 'Cold treat eaten with a spoon', 'Strapped, say', '___ relative', 'Boris Pasternak heroine', 'Org. that might come pounding at the door', 'Safety worry?', 'Home to some flying monkeys', 'Heals', '""Am I the only one thinking this ...?""', 'Hollywood resident, e.g.', 'Said ""C-O-L-O-U-R,"" e.g.', 'Kind of acting', 'Made fun of mercilessly', ""Doesn't just sit there"", 'Flat, e.g.', 'With 44-Down, half-dozen real estate agents?', 'Longtime news inits.', '""Breaking Bad"" channel', 'One escorting', 'Log', 'Terrier named after a Scottish island', 'Real pal, for short', 'Bit of jewelry with a pendant', 'Attached with a knot at the end', 'Not nebulous', 'Nebulous', 'Downed', 'Climbs', '___ sauce (macaroni and cheese ingredient)', 'Word after sing or string', 'Post on a banister', 'Perplex', 'Off the beaten path', 'Plain dwelling?', 'Part of a concert that many people impatiently sit through', 'Moving vehicle', 'Some infrastructure', 'Name for a cat', 'Depression Era refugee', 'Stash hunter', 'Hebrew name that means ""his peace""', ""Annotation on Santa's list"", 'About which you might ask ""One lump or two?""', 'Theme in ""To Kill a Mockingbird""', 'See 3-Down', 'Name on the Saudi flag', 'Refuse', 'Not engaged', 'It has two cups', 'LP players', 'Teaser', '___-Bakr (father-in-law of Muhammad)', 'Like Mork', 'Put in a crypt', ""Aconcagua's range"", 'Like most Judd Apatow comedies', 'In flames', 'One may be polyatomic', 'Ripe', '""Golden Boy"" playwright', 'Pokémon Go, for one', 'Posh', 'Yogurtlike beverage', 'Whole lot', '""Gymnopédies"" composer', ""Africa's ___ Chad"", 'James who wrote the best seller ""A Million Little Pieces""', 'City next to Gulfport', 'Cut at a slant', 'Selfish demand', 'Discover', 'City on the Italian Riviera', 'Sign of a hit', 'What jets may do midair', 'Word often said to lack a rhyme', 'Contents of drives', 'Do better than', 'Mother-of-pearl', 'Size again', 'Candid', 'Nasdaq alternative', '""C\'est la vie!""', ""Paleontologist's find"", 'Polo brand', ""Cook who's entrepreneurial"", '___ talks', 'It might get your feet wet', 'Stadium cry']"
2017-07-10,795.0,Monday,TIMOTHY POLIN,"['Emancipation Proclamation prez', 'One of the senses', 'Sound from a would-be test cheater', 'Apple computers', 'Ancient land in Asia Minor', 'The Bruins of the N.C.A.A.', 'Colorful top often worn with a lei', '___ and cons', '""Attack, Bowser!""', 'Part of a grove', 'Night of anticipation', 'Tel Aviv skyscraper that was the first to be built in the Mideast', '___-splitting (really loud)', '___ de Janeiro', 'Holy sanctuary', '""Absolutely, amigo!""', ""Yep's opposite"", 'Played a part', 'Long, tranquil period ushered in by the emperor Augustus', '""That\'s a shame""', 'Roasting rod', 'Fire, as from a job', 'Kit that may include colored pencils and a stencil', '___-tac-toe', '""That\'s all ___ wrote""', 'Orbiter from 1986 to 2001', 'Links org.', 'Grow weary', 'Sticky secretion', 'Paying close attention', ""Ancient dream of humanity that's hinted at by the starts of 17-, 24-, 37- and 53-Across (in Hawaiian, Hebrew, Latin and Russian, respectively)"", '""Lucky Jim"" author Kingsley', ""California's Santa ___ Derby"", 'Went kaput', 'Where dirty dishes pile up', 'Impoverished', 'Help with the dishwashing, say', 'Accumulates', '""South Pacific"" show tune', 'Fuel-efficient vehicles', '""___ the season ...""', '""___-la-la!""', 'Bring together', 'High, wispy clouds', ""Critics who can't be pleased"", 'Kitten : cat :: ___ : dog', '""Oh darn, I give up!""', 'Ljubljana resident', 'Used a stun gun on', 'Poet/illustrator Silverstein', 'God of love', ""Joel Coen's filmmaking brother"", 'Coquette', 'British wastelands', 'Killer whales', 'Bridge declaration when not bidding', 'Partner of Snap and Crackle', 'Gives off, as light', 'Skilled', 'Going ___ (fighting)', 'Pete with seven Wimbledon championships', 'Paper-folding craft', ""Put on one's seat belt"", '""Let me reiterate ...""', 'Finer in quality', 'Defeater of Nixon in 1960', 'Disputed island in the China Sea', 'Incessantly complain', 'Witch', 'Shiver-inducing', 'Ticked (off)', '""For shame!""', 'Inc., in England', ""Period on Venus that's longer than a year on Venus (!)""]"
2017-07-11,920.0,Tuesday,ZHOUQIN BURNIKEL,"['Make the grade', 'Matchmaking site since 1997', 'Working hard', 'Introductory painting class', 'Assign, as blame', 'Done, in Dijon', 'Hunky-dory', '___ Arbor, Mich.', 'Turkish for ""lord""', ""Borrower's letters"", 'Perennially strong entrant at the Winter Olympics: Abbr.', 'America, for example, which has a ""Cup"" named after it', 'Untouchable one', 'Tennis star Arthur', 'Off-road wheels, briefly', 'Screenwriter Ephron', ""Ladies' man"", 'Stockpiles', 'Victoria and David Beckham, e.g. ... or what 17-, 26-, 47- and 57-Across each have, in a way', 'Dangers', 'Sleep clinic concern', 'SpaceX founder Musk', 'Found really neat', 'The Rolling Stones or Smashing Pumpkins', 'Stayed calm', 'Big name in nail polish', ""Something that's definite?"", 'Numbskull', 'Canon camera', 'Workout target, for short', 'Pre-employment screening', 'Vision: Prefix', 'Come in second', 'Cold drink at Burger King', 'Former C.I.A. director Porter ___', 'Kills time', ""War vet's affliction, for short"", 'Fruit in som tam salad', 'Sports centers', 'Stem the flow of', '[not my mistake]', 'Picture file format', '""Twister"" or ""San Andreas"" film genre', 'Santa ___ winds', ""Gin's partner"", 'Home of the Ewoks', ""Togo's home: Abbr."", 'No-win situation', 'Briefly', '""I remember when ...""', 'Bowler, e.g.', 'Stage signal', 'Katniss Everdeen, in ""The Hunger Games""', 'California roll ingredient', 'Swab analysis sites', 'Iowa college town', 'A fly-by-night?', 'Like some juries', 'Unlock, to a poet', 'Guards', 'Luxury', 'Natural fuel source', 'Nickname of the Mexican drug lord Joaquín Guzmán', 'Facet', '""Uncle!"" criers, maybe', 'Punched out', 'Follow relentlessly', 'Wrist bones', 'Long past', 'YouTube full-screen mode exit key', 'Laudatory poetry', 'Boxing victories, briefly', 'Delta competitor: Abbr.', 'Trendy']"
2017-07-12,1414.0,Wednesday,PATRICK MERRELL and ELAYNE BOOSLER,"['TV\'s ""Top ___""', 'Be abrasive', 'One on a U.S. penny', 'Pause', 'Apply, as lotion', 'Moon unit?', 'Troop group', 'Modern-day remake of a Robert De Niro film?', 'Lands on a couch, say', ""Indians' home: Abbr."", 'Part of EGBDF', 'Jessica of ""Fantastic Four""', 'Fine cotton', 'Modern-day remake of a W. C. Fields film?', 'Overnight flight', 'Brief blow', 'South African golfing great', 'Kuwaiti leader', 'Whopping', 'Relative of a musette', 'Carson not known for his monologues', 'Completely busted', 'Goat coat', 'Modern-day remake of a Bing Crosby film?', 'Snooping', 'Gardner who wrote ""The Case of the Negligent Nymph""', 'Canine command', 'Word derived from the name of a Belgian town', ""F.D.R., Churchill and Stalin's last meeting place"", '... and something to eat while watching the remakes', 'Slant', ""Rock's Jethro ___"", 'Guy with a lot of bookings?', 'Gentle tune', 'Make litterproof?', 'Emo emotion', ""Animals that provided hair used in Chewbacca's costume"", 'Give it up, so to speak', 'Toss', 'Little red monster', 'Sticky strip', 'French vineyard', 'Wheel adornment', 'Member of the first family', 'What may have a dog leg to the left or right?', 'Squelch', ""Computer that accurately predicted Ike's 1952 election"", 'Where a congregation congregates', 'App customer', '""Bloody"" queen', 'Please ___ (invoice stamp)', 'What good comics do', 'Tournament pass', ""Bouncer's checks, for short?"", 'Long march', 'Prefix meaning ""half""', '""All in the Family"" mother', 'Feeling of anxiety', ""It's stuck on a grill"", 'Cut above the flank', 'Southern Slav', 'T.S.A. screening', '""That so?!""', 'Film lovers may run in it', 'Half of a towel set', 'Deface', 'Kind of boid that catches the woim?', 'Like cheap toilet paper', 'Aches (for)', 'Barracks barkers: Abbr.', 'Grumbly ""Are you still sleeping?"" response', 'Pop', 'Video game with a square ball', 'Sci-fi princess', 'Lecture', 'They might emerge on hilltops', 'A peck in a park is one, for short', '""As if!""']"
2017-07-13,2417.0,Thursday,LEWIS E. ROTHLEIN,"['Calvin from ""Calvin and Hobbes,"" e.g.', 'Word file, in brief', ""Like London streets during Dickens's time"", 'Much', 'Stuck', 'What precedes a terrible period?', 'Push aside for selfish ends', 'One-time appearance on a TV show', 'Refreshment for a Brit', 'Harangue', 'Uncontroversial', 'Like a call from someone one just thought about', '34th prez', '""Bien sûr!""', 'Rug rat', 'Oppressive rule by absolute power', 'They are often grain-fed', 'Hebrew leader?', 'Actress Hagen', 'Kama ___', 'Flooded', 'Sparkle', 'Command in ""Macbeth""', 'Back on board', 'Dir. from Norfolk to Philadelphia', 'Count ___', 'Popular music streaming service', 'List shortener', 'Tentatively add to the schedule, with ""in""', 'Do some museum work', 'Aid for a submarine captain', 'Like some bars', 'Product whose jingle uses the ""Dragnet"" theme', 'Neighbor of Wash.', 'Nitpicker', 'Sailing rope', 'Perfect', 'Uncertainties', 'Hair clump', 'Alternative to à la carte', '""What\'s the ___?""', 'Like varsity or junior varsity players', 'Turn at high speed', 'Closing credits feature, sometimes', 'Requirement for un baño', 'Attended (to)', 'Became unhinged', ""What's consumed"", ""One who shouldn't be driving"", 'Treasure hunt phrase ... or a hint to seven Across answers', 'Hostile', 'Six-pack purchase, maybe', '""The Clan of the Cave Bear"" author', 'Largest pelvic bones', 'Higher-up', '""Your time ___!""', 'Big tablet', 'Common symbol in pronunciation: Var.', 'Its graduates include more than 50 astronauts, in brief', 'Backpack snack', 'Recurring snippet in a bass line, say', 'Counsel: Abbr.', 'Surrounding', 'Japan, to the U.S.', 'Eight fluid ounces', 'Affect, as humidity might a piano', 'Got misty, with ""up""', 'Like cardboard jigsaw puzzles', 'Choose, as a questionnaire box', 'It goes with the flow', 'Major thoroughfare through Houston, informally', 'Something to try', 'Hubbub', 'Thumbs-down review']"
2017-07-14,1667.0,Friday,PATRICK BERRY,"['Perennial loser', 'Event featured in every Summer Olympics', 'Automatics lack them', 'Captured by cameras, maybe', 'Pasta with ribs', '""Charmed"" actress Milano', 'Touch', 'Washington insider, informally', 'Alongside', 'Singing ability, informally', 'Protective garment', 'S.&P. rating', 'Made objections', 'Pet', 'Pier group?', 'High tops?', 'Traditional holiday meals', 'Extraction targets', 'Nullifies', 'Greek vowel', 'Southwest language', 'Classes', 'Short-legged item of furniture', 'Montreal is part of it: Abbr.', 'Playwright who wrote ""Hell is full of musical amateurs""', 'Grammys competitor', 'Fully ready', 'Musical with the song ""Beauty School Dropout""', 'Advance copy sent to a critic', 'Mailroom device', 'Brand sold by Sears', 'Throw away', 'Whodunit story?', 'Managed to find', 'Chartered financial institutions', ""Do one's part"", 'Martial arts film hit', 'Number-picking game', 'Popular backache remedy', 'Blue arm', 'Moon of Pluto discovered in 2012', 'Pair in ""Carmen""', 'Flight destination?', 'Beach grass that prevents erosion', ""Optimists' discoveries"", 'Fabric with diagonal lines', 'Rostand who wrote about Cyrano', 'Onetime owner of Skype', 'Opposite of spread out, as a paper', 'Alpha Centauri, for one', 'From now on', '___ regni', 'Large, shallow pan', 'Fink\'s portrayer in ""Barton Fink""', 'IDs tied to one digit', '""Siddhartha"" novelist', 'Web-footed creature', ""Vinyl enthusiast's need"", 'Breathless', 'Delivered an oath?', 'Turin-based automaker', 'Pawn', 'Stories that might not be true', 'Winter home, perhaps']"
